               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074693,             0.04001,                   0,             0.76319,             0.51363,             0.55388,             0.21262,            0.054403,            0.030054,                   0,            0.070018,           0.0033313,           0.0033313
                   1,            0.056499,            0.035674,                   0,             0.81322,             0.56465,              0.6237,             0.26944,            0.050996,            0.029591,                   0,            0.039886,           0.0065327,           0.0065327
                   2,            0.053296,             0.03522,                   0,             0.80789,             0.56717,             0.62606,             0.29425,            0.047581,            0.029459,                   0,           0.0096224,           0.0096021,           0.0096021
                   3,            0.050378,            0.035131,                   0,             0.82012,             0.59741,             0.65701,             0.33316,            0.044606,            0.028785,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.048869,            0.034581,                   0,             0.82002,             0.60371,             0.66123,             0.34438,            0.042951,              0.0287,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.047589,            0.033753,                   0,              0.8284,             0.61262,             0.67118,                0.35,            0.042713,            0.028459,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.047031,            0.033558,                   0,             0.83585,             0.62268,             0.68141,             0.35554,            0.042328,            0.028071,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046439,            0.033898,                   0,             0.83814,             0.63113,               0.691,             0.36687,            0.041787,            0.027932,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.04578,            0.032982,                   0,             0.84313,             0.63537,              0.6961,             0.37083,            0.041442,            0.027764,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045809,            0.032929,                   0,             0.83761,             0.63683,             0.69529,             0.37352,            0.041021,            0.027743,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045307,            0.032701,                   0,             0.84814,             0.64306,             0.70773,             0.38001,            0.040817,              0.0276,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045067,            0.033246,                   0,             0.84722,              0.6475,             0.71028,             0.38674,            0.040149,            0.027409,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.044874,             0.03283,                   0,              0.8483,             0.64834,             0.71074,             0.38574,            0.040203,            0.027437,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.044556,            0.032892,                   0,             0.85299,             0.65032,             0.71215,             0.38842,            0.040004,            0.027333,                   0,            0.007624,            0.007624,            0.007624
