               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.04521,             0.03161,                   0,             0.86233,             0.67843,             0.74307,              0.4147,            0.040408,            0.026639,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.04515,             0.03128,                   0,             0.86283,             0.67825,             0.74323,             0.41496,            0.040379,            0.026632,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.045557,            0.030977,                   0,             0.86154,             0.67949,             0.74364,             0.41536,            0.040355,            0.026631,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.045219,            0.030187,                   0,             0.86131,             0.67988,             0.74371,             0.41595,            0.040334,            0.026625,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.045145,            0.030729,                   0,             0.86139,             0.68015,             0.74402,             0.41605,            0.040313,            0.026621,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.045332,            0.031084,                   0,             0.86163,             0.68062,              0.7444,             0.41645,            0.040289,            0.026617,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.044525,            0.030804,                   0,             0.86227,             0.68093,             0.74478,             0.41659,            0.040266,             0.02661,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.04461,            0.030777,                   0,             0.86248,             0.68121,             0.74502,             0.41683,            0.040251,            0.026608,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.044861,            0.031071,                   0,             0.86319,             0.68109,             0.74547,             0.41718,            0.040233,            0.026603,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.044817,            0.030969,                   0,             0.86368,             0.68099,              0.7456,             0.41736,             0.04022,            0.026599,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.044768,            0.030587,                   0,             0.86372,             0.68099,             0.74592,             0.41742,            0.040211,            0.026596,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.044883,            0.030703,                   0,             0.86346,             0.68091,             0.74605,             0.41757,            0.040199,            0.026595,                   0,            0.005149,            0.005149,            0.005149
