               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041848,            0.029231,                   0,             0.86031,             0.68067,             0.74566,             0.42247,            0.038579,            0.026533,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.041547,            0.028708,                   0,             0.85962,             0.68141,             0.74596,             0.42276,            0.038562,            0.026529,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.041713,            0.028676,                   0,             0.86024,             0.68113,             0.74582,             0.42297,            0.038551,            0.026525,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.041271,            0.027949,                   0,             0.86007,             0.68161,             0.74588,             0.42306,             0.03854,            0.026521,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.041372,            0.028067,                   0,             0.86013,             0.68135,             0.74583,             0.42338,            0.038529,            0.026518,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.04126,            0.028396,                   0,             0.85951,              0.6818,             0.74612,             0.42352,            0.038519,            0.026515,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.040806,            0.028211,                   0,             0.85879,             0.68281,              0.7464,             0.42375,            0.038508,            0.026513,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.040733,             0.02817,                   0,             0.85865,             0.68312,             0.74646,             0.42382,              0.0385,             0.02651,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.040864,            0.028312,                   0,             0.85824,             0.68384,              0.7469,             0.42408,            0.038491,            0.026511,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.040423,            0.028137,                   0,             0.85818,             0.68388,              0.7471,             0.42444,            0.038486,            0.026512,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.040401,             0.02777,                   0,             0.85816,             0.68436,             0.74764,             0.42454,            0.038479,            0.026513,                   0,            0.000496,            0.000496,            0.000496
